Serial number,County,Subcounty,Education zone,,,School Name/Learning Institution,"Type of school1_ Public, Private, Informal",GPS Cordinate (Latitudes),GPS Cordinate (Longtitudes),,TSC Code,KNEC Code,MOE Code/ Nemis Code,Sponsor, Land area_ acres,"Level_ Pre primary, Primary, Secondary, Special needs, technical colleges,  Diploma Teacher colleges, Certificate Teacher colleges,  University","Type of school1_ Public, Private, Informal","Registered, Not registered",Type of school2_Boys; Girls; Mixed,Type of school3_Day; Boarding; Both,"Type of school4_Regular, Integrated, Special Needs School",Enrolment,,,TSC Teachers,,County government (e.g. for Pre primary),,BOM/PTA,,"Total Human resources (Teaching staff , Tsc, BOM/PTA, County)",,,Human resources: Curriculum support, Human resources: Non-Teaching staff,"Infrastructure ( No of classrooms, Labs, Boys toilets, Girls Toilets)",,,,,,,,KCPE (for primary),KCSE (Secondary),HT TEL. CONTACT
47,Makueni,Makueni,KEE,KAITI,KEE,Muusini ,Public,-1.761797,37.329704,,147014044172,18307306,,CEB,1.6 Acrs,Primary,Public,Registered,Mixed,Day & Boarding,Regular,76,86,162,7,2,0,0,0,0,9,0,9,CSO,1,8,0,0,0,4,0,8,0,280.99,,721888419
48,Makueni,Makueni,KEE,KAITI,KEE,Munyuni,Public,-1.737726,37.386921,,1407014044304,18307321,FK5U,CEB,0.08 Ha,Primary,Public,Registered,Mixed,Day & Boarding,Regular,59,63,122,4,5,0,0,0,0,9,0,9,CSO,1,8,0,0,0,3,0,3,0,266.46,,727725667
49,Makueni,Makueni,KEE,KAITI,KEE,Mwea ,Public,-1.699285,37.41463,,147014044317,18307317,PQM4,CEB,1.6 Ha,Primary,Public,Registered,Mixed,Day & Boarding,Regular,77,60,137,5,4,0,0,0,0,9,0,9,"CSO, SCDE,",1,9,0,0,0,4,0,0,0,198.2,,727411852
50,Makueni,Makueni,KEE,KAITI,KEE,Kyamwalye,Public,-1.719285,37.332004,,1470140441160,18307,,CEB,1.5 Ha,Primary,Public,Registered,Mixed,Day & Boarding,Regular,100,78,178,4,5,0,0,1,0,9,1,10,"CSO, RELIGIOUS LEADERS",1,8,0,0,0,6,0,8,0,228.02,,729019565
51,Makueni,Makueni,KEE,KAITI,KEE,Maviameu,Public,-1.70851,37.408503,,147014044305,18307323,DNAG,CEB,2 Acres,Primary,Public,Registered,Mixed,Day & Boarding,Regular,55,49,104,6,3,0,0,0,0,9,0,9,"CSO,SCDEs",1,8,0,0,0,3,0,3,0,244.8,,705260744
52,Makueni,Makueni,KEE,KAITI,KEE,NDUMANI,Public,-1.770909,37.320905,,147014044175,18307316,,CEB,14.1 Ha,Primary,Public,Registered,Mixed,Day & Boarding,Regular,78,83,161,4,5,0,0,0,0,9,0,9,CSO,1,8,0,0,0,4,0,6,0,237.17,,712190100
53,Makueni,Makueni,KEE,KAITI,KEE,Watema,Public,-1.738346,37.322171,,14704044170,18307315,X5GT,CEB,3.15 Acres,Primary,Public,Registered,Mixed,Day & Boarding,Regular,193,184,377,8,7,0,0,0,0,15,0,15,"CSO, SCDE,",2,15,0,0,0,14,0,11,0,250.2,,720835352
54,Makueni,Makueni,KEE,KAITI,KEE,Masaani ,Public,0,0,,147014044296,18307319,PP2V,CEB,1.82 Ha,Primary,Public,Registered,Mixed,Day & Boarding,Regular,76,64,140,4,5,0,0,0,0,9,0,9,CSOs,1,10,0,0,0,8,0,8,0,250.3,,706249593
55,Makueni,Makueni,KEE,KAITI,KEE,Nguluni,Public,-1.759125,37.309138,,147014044169,18307305,JNGE,CEB,4.2 Ha,Primary,Public,Registered,Mixed,Day & Boarding,Regular,220,211,431,4,11,0,0,0,0,15,0,15,"CSO,SCDEs",1,16,0,0,0,10,0,16,0,251.99,,715588641
56,Makueni,Makueni,KEE,KAITI,KEE,Kivani ,Public,-1.593266,37.549834,,147014044157,18307313,4477,CEB,1.64 Ha,Primary,Public,Registered,Mixed,Day & Boarding,Intergrated,84,62,146,3,7,0,0,0,0,10,0,10,"CSO, SCDE,",1,8,0,0,0,4,0,6,0,245.64,,727725666
57,Makueni,Makueni,KEE,KAITI,KEE,Nthonzweni,Public,-1.744053,37.365068,,147014044167,18307310,XSX4,CEB,3.17 Acres,Primary,Public,Registered,Mixed,Day & Boarding,Regular,62,63,125,7,2,0,0,0,0,9,0,9,"SCO, SCDE",1,8,0,0,0,4,0,6,0,237.21,,710312353
58,Makueni,Makueni,KEE,KAITI,KEE,Ngiluni,Public,-1.713836,37.427496,,147014044326,18307318,L7F2,CEB,1 Acre,Primary,Public,Registered,Mixed,Day & Boarding,Intergrated,83,78,161,6,2,0,0,0,0,8,0,8,CSO,1,8,0,0,0,4,0,4,0,248.71,,728916199
59,Makueni,Makueni,KEE,KAITI,KEE,Kyabai,Public,0,0,,147014044159,18307307,YUV5,CEB,1.6 Acres,Primary,Public,Registered,Mixed,Day & Boarding,Regular,76,82,158,2,7,0,0,0,0,8,0,8,"CSO, TSC, MOE",0,8,0,0,0,3,0,3,0,232.56,,712369126
60,Makueni,Makueni,KEE,KAITI,KEE,Kimwatho,Public,-1.742414,37.354325,,,18307322,CRRL,CEB,0.5 Ha,Primary,Public,Registered,Mixed,Day & Boarding,Intergrated,77,95,172,5,3,0,0,0,0,8,0,8,"CSO, SCD, KEMI, CEMASTEA, UON",1,8,0,0,0,6,0,5,0,247.65,,707127700
61,Makueni,Makueni,Wote,Makueni,Wote/ Nziu ,Malooi,Public,-1.846795,37.531713,,147014044848,18307123,T6Z8,CEB,3.2 Ha ,Primary,Public,Registered,Mixed,Day & Boarding,Regular,84,73,157,4,5,0,0,0,0,9,0,9,"CSO, CBC Champions",0,10,0,0,0,8,0,8,0,256.85,,713158973
62,Makueni,Makueni,Wote,KAITI,Wote/ Nziu ,Kiatine,Public,-1.770421,37.588346,,147014044805,18307133,PM96,CEB,4.0 Acres,Primary,Public,Registered,Mixed,Day & Boarding,Intergrated,54,77,131,3,9,0,0,0,0,12,0,12,"CSO, ICT ",1,8,0,0,0,4,0,3,0,279.89,,726042230
63,Makueni,Makueni,Wote,KAITI,Wote/ Nziu ,ST. Johns Malivani,Public,-1.792802,37.597438,,147014044803,18307138,2LR6,CEB,4.04 Acres,Primary,Public,Registered,Mixed,Day & Boarding,Intergrated,67,64,131,1,10,0,0,0,0,11,0,11,MOE ,1,8,0,0,0,6,0,3,0,269.71,,711498129
64,Makueni,Makueni,Wote,KAITI,Wote/ Nziu ,Mwaani DEB ,Public,-1.77111,37.667316,,147014044801,18307035,7UAQ,CEB,4.8 Acres,Primary,Public,Registered,Mixed,Day & Boarding,Intergrated,86,97,183,3,8,0,0,0,0,11,0,11,"CSO, DQASO, SCDE",2,8,0,0,0,2,0,4,0,279.96,,711332000
65,Makueni,Makueni,Wote,KAITI,Wote/ Nziu ,Kimuumo,Public,-1.845618,37.597096,,147014044841,18307118,,CEB,1.96 Ha,Primary,Public,Registered,Mixed,Day & Boarding,Intergrated,189,188,377,4,9,0,0,0,0,13,0,13,CSO,1,11,0,0,0,14,0,10,0,280.25,,711682312
66,Makueni,Makueni,Wote,KAITI,Wote/ Nziu ,Kivandini,Public,-1.811727,37.618927,,147014044800,18307132,D5BF,AIC,3.29 Ha,Primary,Public,Registered,Mixed,Day & Boarding,Intergrated,193,196,389,1,11,0,0,0,1,12,1,13,TSC,1,10,0,0,0,8,0,10,0,278.17,,706180899
67,Makueni,Makueni,Wote,KAITI,Wote/ Nziu ,UNOA ,Public,-1.782287,37.630177,,147014044799,18307137,Y4LU,AIC,11.5 Acres,Primary,Public,Registered,Mixed,Day & Boarding,Intergrated,528,478,1006,6,24,0,0,0,1,30,1,30,"STC,CSO",7,26,0,0,0,11,0,21,0,270.32,,726914980
68,Makueni,Makueni,Wote,KAITI,Wote/ Nziu ,Muthyoi,Public,-1.839619,37.5467,,147014044849,18307126,WZG8,CEB,1.2 Acres,Primary,Public,Registered,Mixed,Day & Boarding,Regular,139,138,277,3,6,0,0,1,0,9,2,11,"CSO, Quality Assuarannce",2,7,0,0,0,4,0,8,0,264.87,,776600846
69,Makueni,Makueni,Wote,KAITI,Wote/ Nziu ,Nzueni,Public,-1.837848,37.618202,,147014044815,18307130,9634,CEB,4.0 Ha,Primary,Public,Registered,Mixed,Day & Boarding,Intergrated,138,142,280,5,6,0,0,0,0,11,0,11,"CSO, CDE",1,12,0,0,0,8,0,8,0,279.14,,723314287
70,Makueni,Makueni,Wote,KAITI,Wote/ Nziu ,Kitikyumu,Public,-1.798453,37.563075,,147014044852,18307122,MU6G,CEB,2.08 Ha,Primary,Public,Registered,Mixed,Day & Boarding,Intergrated,149,134,283,4,7,0,0,0,0,11,0,11,"CSO, CQASO",1,9,0,0,0,10,0,16,0,272.67,,717806962
71,Makueni,Makueni,Wote,KAITI,Wote/ Nziu ,Kathuma ,Public,-1.844433,37.561663,,147014044894,18307153,EWKF,CEB,5 Acres,Primary,Public,Registered,Mixed,Day & Boarding,Intergrated,68,76,144,6,3,0,0,0,0,9,0,9,"CSO, MOEST, KICD, CDE",2,8,0,0,0,4,0,3,0,260.12,,718006422
72,Makueni,Makueni,Wote,KAITI,Wote/ Nziu ,Nthangu,Public,-1.762021,37.618346,,147014044806,18307136,EW7E,CEB,2.78 Ha,Primary,Public,Registered,Mixed,Day & Boarding,Intergrated,153,127,280,2,9,0,0,0,0,11,0,11,"QASO, MOEST,CDE, TSC",1,8,0,0,0,8,0,4,0,251.05,,728336091
73,Makueni,Makueni,Wote,KAITI,Wote/ Nziu ,Muambani,Public,-1.810335,37.643171,,147014044802,18307134,CQ27,CEB,1.95 Ha,Primary,Public,Registered,Mixed,Day & Boarding,Regular,114,109,223,3,9,0,0,0,0,12,0,12,"BOM,SCDE,CSO",1,6,5,0,0,8,0,10,0,242.84,,711379438
74,Makueni,Makueni,Wote,KAITI,Wote/ Nziu ,Kisia ,Public,0,0,,147014044846,18307120,NV 82,CEB,3.4 Acres,Primary,Public,Registered,Mixed,Day & Boarding,Regular,125,93,218,3,7,0,0,0,0,10,0,10,"CSO,MOE,",1,9,0,0,0,4,0,8,0,230.14,,711221930
75,Makueni,Makueni,Wote,KAITI,Wote/ Nziu ,Kithoni,Public,-1.874798,37.579717,,147014044846,18307117,HPYZ,CEB,3.02 Acres,Primary,Public,Registered,Mixed,Day & Boarding,Intergrated,149,133,282,6,4,0,0,0,0,10,0,10,TSC,2,10,0,0,0,8,0,14,0,197.2,,724167534
76,Makueni,Makueni,Wote,KAITI,Wote/ Nziu ,Itaa ,Public,-1.893484,37.597746,,147014044845,18307121,,CEB,3 Acres,Primary,Public,Registered,Mixed,Day & Boarding,Intergrated,148,134,282,4,6,0,0,0,0,10,0,10,"CSO, TSC, ",1,8,0,0,0,8,0,8,0,207.39,,713267880
77,Makueni,Makueni,Wote,KAITI,Wote/ Nziu ,Kitheini,Public,-1.88978,37.433077,,147014044850,18307125,,CEB,0.42 Ha,Primary,Public,Registered,Mixed,Day & Boarding,Regular,61,58,119,2,8,0,0,0,0,10,0,10,QASO,1,8,0,0,0,6,0,4,0,255.14,,712352410
7,Makueni,Kilungu,ILIMA,Kaiti,ILIMA,Kyakatoni,Public,-1.880841,37.427588,,,,H5CH,,                       3.3HA,Primary,Public,Registered,Mixed,Day,Regular,119,138,257,5,3,0,0,1,0,8,1,9,C.S.O,1,8,0,0,0,8,0,8,0,,,0724466130
8,Makueni,Kilungu,ILIMA,Kaiti,ILIMA,Kyeseni Primary,Public,,,,,,NSBU,,1,Primary,Public,Registered,Mixed,Day,Intergrated School,161,149,310,6,4,0,0,0,0,10,0,10,"C.S.O, S.C.Q.A.S.O, C.Q.A.S.O",1,9,0,0,0,,,,,,,
9,Makueni,Kilungu,ILIMA,Kaiti,ILIMA,Kambuku,Public,-1.81135,37.446853,,,,3GFL,,5,Primary,Public,Registered,Mixed,Day,Regular,120,126,246,3,5,0,0,0,2,8,2,10,C.S.O,1,8,0,0,0,1,0,1,0,,,0726046827
10,Makueni,Kilungu,ILIMA,Kaiti,ILIMA,Engavu pri. School,Public,-1.831657,37.457546,,,,5P29,,0.5,Primary,Public,Registered,Mixed,Day,Regular,112,130,242,5,5,0,0,0,2,10,2,12,C.S.O,1,8,0,0,0,2,0,2,0,,,0713832068
11,Makueni,Kilungu,ILIMA,Kaiti,ILIMA,Kyakithuku Primary School,Public,-1.845039,37.456797,,,,ZUFJ,,2.5,Primary,Public,Registered,Mixed,Day,Regular,159,123,282,6,2,0,0,0,0,8,0,8,"C.S.O, E.O",2,9,0,0,0,4,0,4,0,,,0790174643
12,Makueni,Kilungu,ILIMA,Kaiti,ILIMA,Mumbuni Primary School,Public,-1.807905,37.459538,,,,KUM8,,0.34,Primary,Public,Registered,Mixed,Day,Regular,134,108,242,5,4,0,0,0,1,9,0,10,C.S.O,0,8,0,0,0,1,0,2,0,,,0798932641
13,Makueni,Kilungu,ILIMA,Kaiti,ILIMA,Matwiku Primary School,Public,-1.869918,37.439217,,,,2MQ2,,2,Primary,Public,Registered,Mixed,Day,Regular,100,116,216,5,3,0,0,0,1,8,0,9,"C.S.O, S.C.D.E",2,10,0,0,0,8,0,8,0,,,0743733359
14,Makueni,Kilungu,ILIMA,Kaiti,ILIMA,Kathangathini Pri,Public,-1.835992,37.396174,,,,SMF6,,                   0.48HA,Primary,Public,Registered,Mixed,Day,Regular,101,101,202,4,4,0,0,0,0,8,0,8,"C.S.O,SNE, S. DIRECTOR",0,8,0,0,0,2,0,2,0,,,0717741296
15,Makueni,Kilungu,ILIMA,Kaiti,ILIMA,Mwaani A.I.C,Public,-1.858986,37.454316,,,,YXBY,,5,Primary,Public,Registered,Mixed,Day,Regular,188,177,365,5,4,0,0,0,0,9,0,9,C.S.O,1,11,0,0,0,8,0,8,0,,,0724466130
16,Makueni,Kilungu,ILIMA,Kaiti,ILIMA,Wautu Pri,Public,-1.864884,37.399042,,,,GJA6,,                    1.06HA,Primary,Public,Registered,Mixed,Day,Intergrated School,181,192,373,3,6,0,0,0,1,9,0,10,C.S.O,2,8,0,0,0,10,0,10,0,,,0701296958
17,Makueni,Kilungu,ILIMA,Kaiti,ILIMA,Kyamuoso Primary,Public,-1.833035,37.443058,,,,P2CS,,4,Primary,Public,Registered,Mixed,Day,Regular,199,177,376,5,5,0,0,0,1,10,1,11,C.S.O,2,10,0,0,0,5,0,5,0,,,0711501131
18,Makueni,Kilungu,ILIMA,Kaiti,ILIMA,Kyangunzu Primary,Public,-1.848051,37.39068,,,,GH28,,1,Primary,Public,Registered,Mixed,Day,Regular,72,55,127,2,5,0,0,0,0,7,0,7,"C.S.O, Publisher",2,8,0,0,0,6,0,6,0,,,0722266804
19,Makueni,Kilungu,ILIMA,Kaiti,ILIMA,Ndolo Primary School,Public,-1.845984,37.425208,,,,UBKR,,                    1.34HA,Primary,Public,Registered,Mixed,Day & Boarding,Intergrated School,194,192,386,6,5,0,0,0,1,11,1,12,C.S.O,4,10,0,0,0,6,0,7,0,,,0721620224
20,Makueni,Kilungu,ILIMA,Kaiti,ILIMA,Kyamulinge HGM,Public,-1.87276,37.458128,,,,9NTL,,5,Primary,Public,Registered,Mixed,Day,Regular,144,126,270,5,2,0,0,0,1,7,1,8,"C.S.O,M.O.E,C.S.O",2,9,0,0,0,4,0,4,0,,,0727826542
21,Makueni,Kilungu,ILIMA,Kaiti,ILIMA,Kiluluini Primary School,Public,-1.845224,37.468544,,,,UUXN,,1.5,Primary,Public,Registered,Mixed,Day,Regular,122,111,233,5,2,0,0,1,1,7,2,9,"C.S.O, C.S.O, EDUCATION OFFICER",0,8,0,0,0,4,0,4,0,,,0716707146
22,Makueni,Kilungu,ILIMA,Kaiti,ILIMA,Isovya Primary,Public,-1.811582,37.435172,,,,PLW,,                          1HA,Primary,Public,Registered,Mixed,Day,Regular,178,148,326,2,6,0,0,1,1,8,2,10,"C.S.O, S.C.O",2,13,0,0,0,4,0,4,0,,,0718288704
23,Makueni,Kilungu,ILIMA,Kaiti,ILIMA,Kyanga,Public,-1.843062,37.400275,,,,C7BA,,3,Primary,Public,Registered,Mixed,Day,Intergrated School,178,163,341,5,5,1,0,0,0,10,10,11,"Sponser, C.S.O, S.C.D.E",1,13,0,0,0,6,0,10,0,,,0714408583
24,Makueni,Kilungu,ILIMA,Kaiti,ILIMA,Kyanga Primary,Public,-1.843062,37.400275,,,,LGHS,,                     0.55HA,Primary,Public,Registered,Mixed,Day,Regular,95,91,186,6,3,0,0,0,0,9,0,9,"S.C.D.E, D.Q.A.S.O, C.S.O",1,9,0,0,0,6,0,6,0,,,0721963604
25,Makueni,Kilungu,ILIMA,Kaiti,ILIMA,Kyambeke Primary School,Public,-1.849124,37.419893,,,,XATC,,1.5,Primary,Public,Registered,Mixed,Day,Regular,138,121,259,4,4,0,0,0,0,8,0,8,"C.S.O, SUB COUNTY TEAM",1,9,0,0,0,3,0,5,0,,,0723013048
26,Makueni,Kilungu,Kilungu,Kaiti,ILIMA,Kathuluni Primary,Public,-1.774397,37.280792,,,,X8L4,,5,Primary,Public,Registered,Mixed,Day,Regular,122,101,223,5,3,0,0,2,0,8,2,12,C.S.O,1,8,0,0,0,3,0,3,0,,,0723332328
27,Makueni,Kilungu,Ilima,Kaiti,ILIMA,Nzukini Primary School,Public,-1.763734,37.412688,,,,P2YN,,5,Primary,Public,Registered,Mixed,Day,Regular,122,98,220,2,6,0,0,0,1,1,8,9,"C.S.O,C.S.O,C.S.O,C.S.O",1,8,0,0,0,10,0,8,0,,,0726517957
28,Makueni,Kilungu,Kilungu,Kaiti,Kikoko,Kyakathungu Primary,Public,-1.82176,37.422697,,,,GVXA,,2,Primary,Public,Registered,Mixed,Day,Regular,148,135,283,3,5,0,0,1,1,8,2,10,"Q.A, C.S.O",1,8,0,0,0,6,0,6,0,,,0724289492
29,Makueni,Kilungu,Kilungu,Kaiti,Ilima,Kitundumo pri,Public,-1.783976,37.44718,,,,SWG4,,                      6.2 HA,Primary,Public,Registered,Mixed,Day,Regular,130,145,275,5,2,0,0,0,1,7,1,9,"U.O.N student, C.S.O,T.S.C,M.O.E",2,8,0,0,0,4,0,4,0,,,0720875507
30,Makueni,Kilungu,Kilungu,Kaiti,Ilima,AIC Kyenzeni Primary,Public,-1.751567,37.404492,,,,8UCW,,                       2.5HA,Primary,Public,Registered,Mixed,Day,Regular,53,46,99,5,3,0,0,0,2,8,2,10,C.S.O,1,8,0,0,0,4,0,4,0,,,
31,Makueni,Kilungu,Kilungu,Kaiti,Kilungu,Muthethe,Public,-1.810762,37.421682,,,,,,                       0.9HA,Primary,Public,Registered,Mixed,Day,Regular,147,145,292,4,6,0,0,0,0,10,0,10,"C.S.O, T.S.C Personnel,",1,8,0,0,0,8,0,8,0,,,0722206165
32,Makueni,Kilungu,Kilungu,Kaiti,Kilungu,Kyakituku Pri,Public,-1.829587,37.411985,,,,KWU8,,                    0.34HA,Primary,Public,Registered,Mixed,Day,Regular,96,74,170,3,5,0,0,0,2,8,2,10,"Q.A, C.S.O",2,8,0,0,0,4,0,6,0,,,0729244729
33,Makueni,Kilungu,Kilungu,Kaiti,Ilima,Kilungu Primary,Public,-1.780698,37.416206,,,,696k,,2,Primary,Public,Registered,Mixed,Day,Regular,128,132,260,5,3,0,0,0,0,8,0,8,,1,8,0,0,0,6,0,8,0,,,0790340855
34,Makueni,Kilungu,Kilungu,Kaiti,Kilungu,Matua Primary school,Public,-1.820363,37.411615,,,,3ATV,,                 2.651HA,Primary,Public,Registered,Mixed,Day,Regular,123,147,270,3,5,0,0,0,0,8,0,8,"C.S.O, E.O",2,9,0,0,0,4,0,4,0,,,0722705948
35,Makueni,Kilungu,Kilungu,Kaiti,Ilima,Musalala,Public,-1.772101,37.405512,,,,3L2U,,3,Primary,Public,Registered,Mixed,Day,Regular,179,147,326,3,5,0,0,1,1,8,2,10,"C.S.0,D.C.S.O,D.H.R.O,C.D.E, I.C.T officer",2,13,0,0,0,0,0,0,0,,,0728361097
36,Makueni,Kilungu,Kilungu,Kaiti,Ilima,A.I.C Katitu,Public,-1.799233,37.439159,,,,TR7X,,                 0.97HA,Primary,Public,Registered,Mixed,Day,Regular,119,137,256,5,3,0,0,0,0,8,0,8,C.S.O,1,8,0,0,0,3,0,6,0,,,0715814268
37,Makueni,Kilungu,Kilungu,Kaiti,Kilungu,Kalongo Primary,Public,-1.804606,37.412381,,,,BNXQ,,2.5,Primary,Public,Registered,Mixed,Day,Intergrated School,217,226,443,4,8,0,0,0,0,12,0,12,"C.S.O, SUB COUNTY Officer",1,12,0,0,0,6,0,6,0,,,0722542588
38,Makueni,Kilungu,Kilungu,Kaiti,Ilima,Kavata Nzou Pri,Public,-1.788985,37.431561,,,,R3HL,,5,Primary,Public,Registered,Mixed,Day,Regular,191,225,416,4,6,0,0,0,0,10,0,10,C.S.O,1,11,0,0,0,4,0,4,0,,,0710244034
39,Makueni,Kilungu,Kilungu,Kaiti,Ilima,Inyokoni Primary,Public,-1.785776,37.404429,,,,K3HQ,,10,Primary,Public,Registered,Mixed,Day,Regular,278,264,542,7,8,0,0,4,2,15,6,21,"C.S.O,C.S.O,S.C.D.E",11,14,0,0,0,10,0,8,0,,,0727623096
40,Makueni,Kilungu,Kilungu,Kaiti,Kilungu,Kikoko  Girls,Public,-1.806439,37.393842,,,,8PQG,,,Primary,Public,Registered,Girls,Day,Intergrated School,0,392,392,1,12,0,0,1,0,13,0,13,C.S.O,1,12,0,0,0,4,0,4,0,,,0725986347
41,Makueni,Kilungu,Kilungu,Kaiti,Kilungu,St.Augustine Thomeandu Boys Pri,Public,-1.799099,37.398687,,,,QX39,,5,Primary,Public,Registered,Boy,Day,Regular,319,0,319,5,5,0,0,0,0,10,0,10,C.S.O,1,36,0,0,0,5,0,5,0,,,0726907179
42,Makueni,Kilungu,Kilungu,Kaiti,Kilungu,Kyamatheka pri,Public,-1.801295,37.42436,,,,BMBZ,,3,Primary,Public,Registered,Mixed,Day,Intergrated School,127,131,258,3,7,0,0,0,0,10,0,10,"C.S.O,C.S.O,T.S.C,M.O.E",1,8,0,0,0,8,0,10,0,,,0713457357
43,Makueni,Kilungu,Kilungu,Kaiti,Kilungu,Kyangela Primary,Public,-1.823683,37.398286,,,,VYEZ,,10,Primary,Public,Registered,Mixed,Day,Regular,81,79,160,2,6,0,0,0,0,8,0,8,"C.S.O, M.O.E.ST, T.S.C",1,8,0,0,0,4,0,4,0,,,0711835434
44,Makueni,Kilungu,Nunguni,Kaiti,Kilungu,Kyale Primary,Public,-1.806847,37.353687,,,,AF6D,,2,Primary,Public,Registered,Mixed,Day & Boarding,Intergrated School,207,179,386,4,7,0,0,0,0,11,0,11,"C.S.O, Education officer",5,11,0,0,0,4,0,6,0,,,0729932467
45,Makueni,Kilungu,Nunguni,Kaiti,Kilungu,Nthunguni,Public,-1.770396,37.374772,,,,UBQW,,2.4,Primary,Public,Registered,Mixed,Day,Regular,83,91,174,2,7,0,0,0,0,9,0,9,"C.S.O, M.O.E",0,9,0,0,0,8,0,8,0,,,0723478704
46,Makueni,Kilungu,Nunguni,Kaiti,Kilungu,Kituni pri,Public,-1.745653,37.373257,,,,BKCV,,3,Primary,Public,Registered,Mixed,Day,Regular,153,148,301,4,4,1,0,1,1,8,2,10,M.O.E,2,9,0,0,0,3,0,8,0,,,0719441661
47,Makueni,Kilungu,Nunguni,Kaiti,Kilungu,Nduu Primary,Public,-1.774927,37.368666,,,,HBQS,,6,Primary,Public,Registered,Mixed,Day,Intergrated School,97,121,218,4,4,1,0,1,0,8,2,10,"C.S.O, Education officer",2,8,0,0,0,12,0,20,0,,,0726690938
48,Makueni,Kilungu,Nunguni,Kaiti,Kilungu,Nunguni Primary,Public,-1.790044,37.353997,,,,H79F,,15,Primary,Public,Registered,Mixed,Day,Intergrated School,225,213,438,3,10,1,0,1,2,13,3,15,,2,13,0,0,0,0,0,8,0,,,0713760244
49,Makueni,Kilungu,Nunguni,Kaiti,Kilungu,Nyaani Primary,Public,-1.772714,37.388917,,,,PYBJ,,2,Primary,Public,Registered,Mixed,Day,Regular,110,114,224,3,6,0,0,0,0,9,0,9,C.S.O,2,8,0,0,0,12,0,0,0,,,0713711622
50,Makueni,Kilungu,Nunguni,Kaiti,Kilungu,ST.John Bosco Mutungu Pri,Public,-1.782339,37.359646,,,,Y4E4,,3.5,Primary,Public,Registered,Mixed,Day,Regular,152,119,271,3,5,0,0,1,0,8,1,9,"C.S.O,C.S.O",1,8,0,0,0,8,0,7,0,,,0723833787
51,Makueni,Kilungu,Nunguni,Kaiti,Kilungu,Mutanda H.G.M ,Public,-1.829332,37.388906,,,,YS6D,,3,Primary,Public,Registered,Mixed,Day,Regular,109,122,231,8,1,0,0,7,8,9,15,24,C.S.O,2,8,0,0,0,4,0,4,0,,,0713276588
52,Makueni,Kilungu,Nunguni,Kaiti,Kilungu,Katulye pri,Public,-1.793686,37.381651,,,,89DS,,10,Primary,Public,Registered,Mixed,Day,Regular,189,226,415,3,10,0,0,1,1,13,2,15,C.S.O,2,8,0,0,0,12,0,10,0,,,0702114211
53,Makueni,Kilungu,Nunguni,Kaiti,Kithembe,Kauti Primary,Public,-1.78592,37.338302,,,,9FWB,,                        4HA,Primary,Public,Registered,Mixed,Day,Intergrated School,138,102,240,4,3,0,0,1,0,7,1,8,"C.S.O,H.R.O,C.S.O,C.S.O",3,8,0,0,0,3,0,4,0,,,0713152929
54,Makueni,Kilungu,Nunguni,Kaiti,Kilungu,Mutongu Primary,Public,-1.784416,37.37547,,,,XEWT,,                         1HA,Primary,Public,Registered,Mixed,Day,Regular,138,113,251,2,6,1,0,0,0,8,0,9,,1,8,0,0,0,6,0,10,0,,,0714312320
55,Makueni,Kilungu,Nunguni,Kaiti,Kilungu,AIC Kisyulya Primary,Public,-1.763016,37.362716,,,,DX2K,,4,Primary,Public,Registered,Mixed,Day,Intergrated School,130,125,255,5,4,0,0,0,0,9,0,9,C.S.O,1,8,0,0,0,5,0,6,0,,,0727658965
56,Makueni,Kilungu,KEE,Kaiti,Kilungu,Ikalyoni Primary,Public,-1.761768,37.379053,,,,SKLR,,                     2.34HA,Primary,Public,Registered,Mixed,Day,Regular,134,122,256,5,3,0,0,0,0,8,0,8,"C.S.O,S.C.D.E,T.S.C,MINISTRY",1,8,0,0,0,8,0,8,0,,,0719163530
57,Makueni,Kilungu,Nunguni,Kaiti,Kithembe,Kwaluli Primary,Public,-1.750566,37.347976,,,,B7Z2,,                       1.5HA,Primary,Public,Registered,Mixed,Day,Regular,80,80,160,6,1,0,0,0,0,7,0,7,"C.S.O, T.S.C, K.E.M.I",1,8,0,0,0,5,0,6,0,,,0717138824
58,Makueni,Kilungu,Nunguni,Kaiti,Kilungu,Kithembe,Public,-1.774023,37.351682,,,,MDSJ,,3,Primary,Public,Registered,Mixed,Day,Regular,57,63,120,3,5,0,0,0,1,8,1,9,C.S.O,1,8,0,0,0,5,0,6,0,,,0724053989
59,Makueni,Kilungu,Nunguni,Kaiti,Kilungu,Kithangathini pri,Public,-1.824266,37.371075,,,,52ZY,,3,Primary,Public,Registered,Mixed,Day,Regular,100,103,203,5,3,0,0,0,1,8,1,9,,2,8,0,0,0,8,0,8,0,,,0714598047
60,Makueni,Kilungu,Nunguni,Kaiti,Kilungu,Kaeani pri,Public,-1.819084,37.372267,,,,MXUN,,4,Primary,Public,Registered,Mixed,Day,Regular,158,127,285,2,5,0,0,0,2,7,2,11,"Q.A, C.S.O",2,11,0,0,0,8,0,8,0,,,0726514841
61,Makueni,Kilungu,Nunguni,Kaiti,Kilungu,Tusunini Primary,Public,-1.79913,37.370678,,,,A32N,,,Primary,Public,Registered,Mixed,Day,Intergrated School,293,308,601,6,9,0,1,0,1,15,1,16,"C.S.O, S.D.E",1,14,0,0,0,8,0,11,0,,,0705430603
